sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
TEA_BS142:AB685	1	1522	52.03679369250985	3e99f65ede4acb3f555bab6dd370bdc5	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOB_unknown	NC_018997,CP018359	mobilizable	CP034062	0.00531349	Shigella flexneri	AB685	AK564	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
TEA_BS142:AA579	1	4068	49.803343166175026	df0feb92847660e30cd42da6314238bb	rep_cluster_1778	001202__CP011432_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_013503,NC_009791	mobilizable	CP012629	0.000956583	Escherichia coli	AA579	AI797	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS14:AA971	2	11406	42.42503945291951	8017b30dc15ef15e11b45285954323d9	Col156,rep_cluster_2141	CP001126_00001,HQ201416_00001	MOBQ	NC_019062_00002	-	-	-	-	mobilizable	CP043022	0.0152404	Escherichia coli	AA971	AJ469	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
TEA_BS14:AA163	1	3380	55.35502958579882	a92b80984f0036741c55d7835358822d	-	-	MOBP	NC_014003_00004	-	-	MOBP	NZ_CP011065	mobilizable	CP039602	0.00128842	Salmonella enterica subsp. enterica	AA163	AH811	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS14:AG294	1	24690	50.89914945321993	3ec12b02fcce5ec40167705d62de15e6	-	-	-	-	-	-	-	-	non-mobilizable	CP019906	0.0381928	Escherichia coli	AG294	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_BS14:AA176	19	148817	50.99283012021476	bdcb57263b69a119cab11f8ef4fbec3d	IncFIA,IncFIC,IncFIB,IncQ1	000136__AP014877_00014,AY458016,000095__NZ_CP014273_00094,000195__NC_013728_00014	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	-	-	conjugative	CP014489	0.00328537	Escherichia coli	AA176	AH856	phylum	Pseudomonadota	phylum	Pseudomonadota	phylum	Pseudomonadota	11254626; 25389419; 2653965; 19482926; 15781495; 20851899; 16257053
TEA_BS14:AB685	1	1552	51.868556701030926	c72e096a64a664b7853d8c81b12f10b2	-	-	-	-	-	-	MOBP,MOB_unknown	AB027308,CP018359	mobilizable	CP023858	0.000557238	Escherichia coli	AB685	AK563	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS14:AG884	1	1783	36.399326977005046	120bc39a215d17d730305c84e403549c	-	-	-	-	-	-	-	-	non-mobilizable	CP034391	0.0295179	Escherichia coli	AG884	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_BS14:AG659	4	15868	39.11015881018402	0f3ee8fd0642eb40128ce55cff7c293a	-	-	-	-	-	-	-	-	non-mobilizable	CP024095	0.0455159	Escherichia coli	AG659	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_BS150:AB685	1	1542	51.55642023346304	2046364f61f9f4a1f0a35bded7789e72	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOB_unknown	NC_002145,CP018359	mobilizable	CP029183	0.000780658	Escherichia coli	AB685	AK564	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
TEA_BS150:AA179	10	97681	51.40406015499432	c501afbca90b43fdb5ab5b2f691f9d0b	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	-	-	conjugative	CP032891	0.0556462	Escherichia coli	AA179	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
TEA_BS150:AA378	9	100311	48.3436512446292	19ee1158820279e8f3bc0bc68e43ac57	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	CP019188	0.0187432	Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729	AA378	AI389	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
TEA_BS150:AB241	1	2096	55.62977099236641	be3398bdda37fd2c297b565423358970	ColpVC	JX133088	-	-	-	-	MOBP	AB027308	mobilizable	CP016523	0.000981871	Salmonella enterica subsp. enterica serovar Heidelberg	AB241	AJ946	order	Enterobacterales	order	Enterobacterales	-	-	-
TEA_BS150:AG884	1	2626	36.40517897943641	affd83fd0f58b005cebf3fde952e97d4	-	-	-	-	-	-	-	-	non-mobilizable	CP034391	0.0175349	Escherichia coli	AG884	AQ940	genus	Escherichia	genus	Escherichia	-	-	-
TEA_BS157:AC511	2	10370	47.55062680810029	28deb8476735a8fcb24b53987c6961ed	rep_cluster_2350,rep_cluster_2350	CP041342_00001,CP035723_00002	MOBF,MOBP,MOBP	CP019897,NC_020251_00005,NC_017321_00002	-	-	MOB_unknown	CP010128	mobilizable	HE616530	0.0188675	Shigella sonnei 53G	AC511	AL729	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_BS157:AA579	1	4072	49.80353634577603	a1392b972cd829a5c8c0130c7c00d400	rep_cluster_1778	001202__CP011432_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_013503,NC_009791	mobilizable	CP012629	0.000143503	Escherichia coli	AA579	AI797	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS157:AA176	12	126961	49.341923897889906	96054a9a53f803b29750d47308734493	IncFIB,rep_cluster_2244	000095__NZ_CP014273_00094,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	KM107838	conjugative	CP033091	0.00316966	Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	AA176	AH856	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 15781495; 20851899; 16257053
TEA_BS157:AA977	1	5165	47.531461761858665	9dabbc796f3d7cd2681c58b39e81df57	Col156,rep_cluster_2131	CP001126_00001,CP010218_00004	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP040268	0.00128842	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS157:AB685	1	1538	51.82054616384915	1962bbe39224dfa75bfafd21c780e4b4	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOB_unknown	NC_018997,CP018359	mobilizable	CP034062	0.00557568	Shigella flexneri	AB685	AK564	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
TEA_BS157:AD672	1	24888	51.86033429765349	0d010184cc7b99506660d3b185ea8271	-	-	-	-	-	-	-	-	non-mobilizable	CP024288	0.0487413	Escherichia albertii	AD672	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_BS157:AA282	2	98327	52.8857790840766	4d45274ae9c03c7c758f978844805ccf	IncK2/Z	KC340959	MOBP	NC_013728_00087	MPF_I	NC_014843_00047,NC_007365_00035,NC_011754_00109,NC_014843_00041,NC_022371_00084,NC_012487_00131,NC_022992_00098,NC_014843_00033,NC_011754_00087	MOBP	CP018984	conjugative	MF156268	0.00641996	Escherichia coli	AA282	AI113	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
TEA_BS165:AC509	1	6647	48.60839476455544	d1f31dc7324a486d9837b59857f3a51f	rep_cluster_2350	CP035723_00002	MOBP,MOBP	LT985292_00003,NC_019076_00002	-	-	MOBP	MF083142	mobilizable	CP012628	0.000119496	Escherichia coli	AC509	AL724	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_BS165:AA977	1	5172	47.467130703789636	4724e355f1d79dd77cca80902ca9d456	Col156	CP001126_00001	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP008716	0.000483446	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
TEA_BS165:AG658	5	25787	55.45429867762826	31c009133798909439bf206631b8d41b	-	-	-	-	-	-	-	-	non-mobilizable	KX434884	0.0342477	Klebsiella pneumoniae	AG658	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS165:AA474	2	89174	49.98766456590486	a9b0ecaffce00bdc4ba57b2623293127	IncI1/B/O	HF572032	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	HM021326	conjugative	KJ406378	0.000631368	Shigella sonnei	AA474	AI621	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 20956594; 20851899; 30761100
TEA_BS165:AA179	4	57132	50.68438003220612	65e8d5bdb09f6932a5c02210bde88a81	IncFIC,rep_cluster_2244	AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	-	-	conjugative	CP024827	0.0216393	Escherichia coli	AA179	AH866	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS17:AA179	16	161396	50.29368757590027	fd66235b4cae3be023216136648af553	IncFIB,IncFIC,IncFII	000095__NZ_CP014273_00094,AP001918,KF954760	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_013437_00116,08-5333_00200,NC_022651_00077,NC_010409_00124	-	-	conjugative	CP042897	0.000981871	Escherichia coli	AA179	AH868	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 28842132; 15781495; 20851899; 16257053
TEA_BS17:AD092	1	1438	44.575799721835885	ba7185003a4a7d1bd123ff9866ebf631	-	-	-	-	-	-	-	-	non-mobilizable	CP006666	0.0114419	Edwardsiella anguillarum ET080813	AD092	AM523	order	Enterobacterales	order	Enterobacterales	-	-	-
TEA_BS20:AC509	1	6651	48.594196361449406	cf7a7d16fc9c6edc7ac37deef1c8e514	rep_cluster_2350	CP035723_00002	MOBP	NC_019076_00002	-	-	MOBP	MF083142	mobilizable	CP012628	0.000119496	Escherichia coli	AC509	AL724	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_BS20:AA176	13	143580	49.79593258113943	34f31eada88058f31fe04142190b4045	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	-	-	conjugative	KR827684	0.00121124	Escherichia coli	AA176	AH858	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
TEA_BS20:AB443	1	4200	42.92857142857143	92fe493c3edb27cf8fc7cf20961941a8	rep_cluster_2350	CP041342_00001	-	-	-	-	MOBF,MOBP,MOB_unknown	KT950740,NZ_CP012632,NC_019986	mobilizable	KM107838	0.00160079	Escherichia coli	AB443	AK225	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_BS36:AA378	4	97339	47.35820174852834	fd7ee82952aa6b16f5603613dff8b48e	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	CP015997	0.0175939	Escherichia coli	AA378	AI382	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
TEA_BS36:AA163	1	3353	55.1744706233224	1ba75aea51e594a3179ab6d1eed9af06	-	-	MOBP,MOBP	NC_017321_00002,NC_014003_00004	-	-	MOBP	NZ_CP011065	mobilizable	CP012934	0.000483446	Salmonella enterica subsp. enterica serovar Heidelberg	AA163	AH811	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS36:AC509	1	6627	48.60419496001207	0b18138abd0640f1c120cb09b741b1c7	rep_cluster_2350	CP035723_00002	MOBP	NC_019076_00002	-	-	MOBP	MF083142	mobilizable	CP012628	0.000385581	Escherichia coli	AC509	AL724	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_BS36:AA176	16	129769	48.796707996516886	b25efcda135a47a2d4fc6dc37cefd715	IncFIB,rep_cluster_2244	000095__NZ_CP014273_00094,CP033091_00053	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	-	-	conjugative	CP033091	0.00294054	Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	AA176	AH856	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 15781495; 20851899; 16257053
TEA_BS36:AG659	1	19161	40.191012995146394	bb13bac8c3c6ed4b48d2cf1e04b2ed74	-	-	-	-	-	-	-	-	non-mobilizable	CP024095	0.0450347	Escherichia coli	AG659	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_BS45:AA176	15	123662	49.36277918843299	e9b7b23bbc06d3d5e54ceb753f096f40	IncFIB,rep_cluster_2244	000095__NZ_CP014273_00094,CP033091_00053	MOBF,MOBF	CP042640_00139,NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	KM107838	conjugative	CP033091	0.00170624	Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	AA176	AH856	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 15781495; 20851899; 16257053
TEA_BS58:AA282	1	87259	53.22545525389931	014b2981be34ea24ad29ccda19a31b6c	IncI1/B/O	KU932021	MOBP	NC_013728_00087	MPF_I	NC_011754_00087,NC_014843_00047,NC_007365_00035,NC_011754_00109,NC_014843_00041,NC_022371_00084,NC_012487_00131,NC_022992_00098,NC_014843_00033	MOBP	AB290882	conjugative	NC_018995	0.00274254	Escherichia coli	AA282	AI113	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 20956594; 20851899; 30761100
TEA_BS58:AA297	18	139268	51.41094867449809	814115f16ae50ecf9c83990ff9fca00e	IncFIA,IncFIB,rep_cluster_2131	CP022610_00144,000096__NC_019117_00097,CP030770_00142	MOBF	NC_017627_00068	MPF_F	NC_008460_00107,NC_019094_00068,NC_019037_00027,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	-	-	conjugative	CP021289	0.00075568	Escherichia coli	AA297	AI140	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
TEA_BS58:AD672	1	19391	54.365427260069104	8dc9d94e3dc2c6bd5ba79baf03ee3ac4	-	-	-	-	-	-	-	-	non-mobilizable	CP024288	0.0501998	Escherichia albertii	AD672	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_BS76:AA282	3	91956	53.04819696376528	e48fd576a8eb7c8cb3f44431a11f3425	IncI1/B/O	KU932021	MOBP	NC_013728_00087	MPF_I	NC_014843_00041,NC_011754_00109,NC_007365_00035,NC_014843_00047,NC_011754_00087,NC_014843_00033,NC_022992_00098,NC_012487_00131,NC_022371_00084	MOBP	AB290882	conjugative	NC_018995	0.00126265	Escherichia coli	AA282	AI113	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 20956594; 20851899; 30761100
TEA_BS76:AA297	29	125026	51.46689488586374	38e17be7b6a0011475a31525473054a8	IncFIA,IncFIB,rep_cluster_2131	CP022610_00144,000096__NC_019117_00097,CP030770_00142	MOBF	AP018568_00098	MPF_F	NC_019094_00068,NC_019037_00027,NC_017639_00100,NC_007675_00027,NC_013437_00116,NC_017639_00094,NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_010719_00097,NC_008460_00107	-	-	conjugative	CP021289	0.00399629	Escherichia coli	AA297	AI140	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
TEA_BS76:AA163	1	1186	54.468802698145026	febbe01da98b11d1596893c429673e76	-	-	-	-	-	-	-	-	non-mobilizable	CP001119	0.0415686	Salmonella enterica subsp. enterica serovar Heidelberg str. SL476	AA163	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS84:AA735	7	84507	52.35660951163809	78f6c64a09f827a42e25df90b348637a	IncFIA,IncFIB	AF250878,000096__NC_019117_00097	-	-	-	-	-	-	non-mobilizable	CP021937	0.0366967	Escherichia coli	AA735	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 11254626; 25389419; 19482926; 19897651; 15781495; 24247128; 20851899; 22511964; 16257053
TEA_BS84:AA338	5	54987	51.77769290923309	a8aa05ef1ef11bbc8439da34b69692dc	IncFIA,IncFIC	000136__AP014877_00014,CP014493_00001	MOBF	NC_017627_00068	MPF_F	NC_008460_00107,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_019072_00073,NC_013437_00116,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077	MOBF	NZ_CM001473	conjugative	MN101854	0.0279555	Escherichia coli	AA338	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS84:AB686	2	3068	51.271186440677965	7f6dbd3d6cd84e13ada98459ab26f1c3	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOB_unknown,MOBP	NC_018997,CP018359,NC_002145	mobilizable	CP027128	0.0177716	Escherichia coli	AB686	AK565	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
TEA_BS84:AA977	1	5152	47.49611801242236	13a7f0f8f1ae8f5cb5af545f1fdeda0a	Col156,rep_cluster_2131	CP001126_00001,CP041341_00001	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP035126	0.000361208	Escherichia coli	AA977	AJ479	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS84:AA971	1	5701	42.308366953166114	0e115d55afe5cdcc1fb888118fab6dec	rep_cluster_2141,rep_cluster_2378	HQ201416_00001,CP043021_00001	MOBQ	NC_019062_00002	-	-	-	-	mobilizable	CP043022	0.000557238	Escherichia coli	AA971	AJ469	genus	Escherichia	genus	Escherichia	-	-	-
TEA_BS84:AG640	1	4388	53.21330902461258	7026e1dd4cfea3220bcb8dd437d2bb52	-	-	MOBQ	CP010366_00008	-	-	-	-	mobilizable	CP010366	0.0574401	Enterobacter hormaechei subsp. oharae	AG640	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS84:AC748	1	2094	47.18242597898758	2911a596921ef8299191ed8c67d64f10	Col(BS512)	NC_010656	-	-	-	-	-	-	non-mobilizable	CP030115	0.000656154	Escherichia coli	AC748	AM073	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_BS84:AA142	1	7939	41.6299282025444	4cd67740011f88694fa4919e8d920497	rep_cluster_2350	CP035723_00002	MOBP,MOBP,MOBP	LT985292_00003,NC_017321_00002,NC_020251_00005	-	-	MOBP	NZ_CP012498	mobilizable	CP023830	0.000239895	Escherichia coli	AA142	AH776	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_BS84:AG884	1	1744	37.27064220183486	36b0eb13f7a826f8fe6f0e6fc94500d6	-	-	-	-	-	-	-	-	non-mobilizable	CP034391	0.0307758	Escherichia coli	AG884	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_BS87:AA176	15	126543	49.37294042341338	4517591c72d43c135354b14cc3fba9d2	IncFIB,rep_cluster_2244	000095__NZ_CP014273_00094,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	KM107838	conjugative	CP033091	0.00105797	Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	AA176	AH856	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 15781495; 20851899; 16257053
TEA_BS87:AC509	1	6647	48.60839476455544	7e8b25c458b3ae3803b235df61e7ec80	rep_cluster_2350	CP035723_00002	MOBP	NC_019076_00002	-	-	MOBP	MF083142	mobilizable	CP012628	0.000143503	Escherichia coli	AC509	AL724	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
TEA_BS87:AG294	1	25035	50.581186339125225	33c60561b749c8430a19771c13489a7b	-	-	-	-	-	-	-	-	non-mobilizable	CP019906	0.0380652	Escherichia coli	AG294	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_C1_101:AA176	19	154443	49.70895411252048	1069237f47fd75d06246d05ca5804fac	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	MN053930	0.000931334	Escherichia coli	AA176	AH855	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
TEA_C1_101:AD672	1	12462	55.03129513721714	9c79857c2d8fb5d213ce172b02cc4b7b	-	-	-	-	-	-	-	-	non-mobilizable	CP024288	0.0439391	Escherichia albertii	AD672	-	genus	Escherichia	genus	Escherichia	-	-	-
TEA_C1_101:AB683	1	4237	40.78357328298324	ad91d068293ef217e1964c33c3762ee6	-	-	-	-	MPF_T	NC_002144_00007	-	-	non-mobilizable	CP023652	0.0018924	Shigella sonnei	AB683	AK560	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
TEA_C1_102:AB690	1	2312	40.83044982698962	06118696c25ec64d7bcb016a313337cc	Col(MG828)	NC_008486	-	-	-	-	-	-	non-mobilizable	CP005932	0.00737682	Escherichia coli APEC IMT5155	AB690	AK570	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
TEA_C1_102:AA176	19	144105	49.87058047951147	0bd160021b00d5955fe845620d987d3d	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_009837_00049,NC_013437_00116,08-5333_00200,NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094	-	-	conjugative	EU330199	0.00454897	Escherichia coli	AA176	AH855	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
TEA_C1_102:AC774	5	22747	53.37846749021849	6bbf383ef023ef08f7f71233e87c6d72	-	-	-	-	-	-	-	-	non-mobilizable	CP019898	0.0590885	Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1175	AC774	-	genus	Salmonella	genus	Salmonella	-	-	-
TEA_C1_10:AA281	6	61999	52.047613671188245	ab7c61d3737a7524225b3fa2385d37e1	IncK2/Z	KR905388	-	-	MPF_I	NC_022371_00084,NC_007365_00033,NC_011754_00109,NC_007365_00035,NC_014843_00047,NC_011754_00087,NC_012487_00131,NC_022992_00098,NC_022992_00102	-	-	non-mobilizable	CP018772	0.025894	Escherichia coli	AA281	-	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
TEA_C1_10:AB690	1	2294	40.88927637314734	04593d5aaa9d8a11bb1098a3c6ae3d44	-	-	-	-	-	-	-	-	non-mobilizable	CP005932	0.0206797	Escherichia coli APEC IMT5155	AB690	AK570	genus	Escherichia	genus	Escherichia	-	-	-
TEA_C1_10:AC510	1	5181	49.3341053850608	d00200dfe2d8528bf1438dc487bc87dd	rep_cluster_2350	CP041342_00001	MOBP,MOBP	NC_017321_00002,NC_019076_00002	-	-	MOBP	NC_017657	mobilizable	CP032881	0.0339141	Escherichia coli	AC510	-	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
